Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID48,48,4,0.463,0.022,0.026,0,5,1,0.005,1,-10921639,37.496,0,0,255,70380,90.332,0.003,1,0.415
ID35,35,4,0.362,0.024,0.026,0,10,2,0.005,1,-10921639,30.024,0,0,255,56355,82.209,0.002,1,0.365
ID63,63,4,0.366,0.025,0.026,0,15,3,0.005,1,-10921639,30.16,0,0,255,56610,82.37,0.002,1,0.366
ID126,126,4,0.344,0.025,0.026,0,20,4,0.005,1,-10921639,27.986,0,0,255,52530,79.728,0.002,1,0.351
ID77,77,4,0.362,0.026,0.027,0,25,5,0.005,1,-10921639,30.296,0,0,255,56865,82.53,0.002,1,0.367
ID113,113,4,0.357,0.027,0.027,0,30,6,0.005,1,-10921639,29.752,0,0,255,55845,81.885,0.002,1,0.363
ID93,93,4,0.345,0.029,0.028,0,35,7,0.005,1,-10921639,28.394,0,0,255,53295,80.235,0.002,1,0.354
ID172,172,4,0.344,0.03,0.028,0,40,8,0.005,1,-10921639,28.258,0,0,255,53040,80.067,0.002,1,0.353
ID156,156,4,0.34,0.031,0.028,0,45,9,0.005,1,-10921639,27.85,0,0,255,52275,79.559,0.002,1,0.35
ID186,186,4,0.337,0.032,0.029,0,50,10,0.005,1,-10921639,27.579,0,0,255,51765,79.217,0.004,1,0.348
ID141,141,4,0.338,0.033,0.029,0,55,11,0.005,1,-10921639,27.579,0,0,255,51765,79.217,0.002,1,0.348
ID201,201,4,0.341,0.035,0.03,0,60,12,0.005,1,-10921639,27.986,0,0,255,52530,79.728,0.004,1,0.351
ID216,216,4,0.346,0.036,0.03,0,65,13,0.005,1,-10921639,28.258,0,0,255,53040,80.067,0.002,1,0.353
ID231,231,4,0.502,0.036,0.03,0,70,14,0.005,1,-10921639,40.621,0,0,255,76245,93.343,0.004,1,0.435
ID246,246,4,0.491,0.034,0.031,0,75,15,0.005,1,-10921639,39.534,0,0,255,74205,92.319,0.003,1,0.428
ID262,262,4,0.461,0.033,0.031,0,80,16,0.005,1,-10921639,36.273,0,0,255,68085,89.096,0.003,1,0.407
ID275,275,4,0.493,0.031,0.032,0,85,17,0.005,1,-10921639,39.398,0,0,255,73950,92.189,0.003,1,0.427
ID304,304,4,0.501,0.029,0.032,0,90,18,0.005,1,-10921639,40.213,0,0,255,75480,92.962,0.004,1,0.433
ID290,290,4,0.501,0.027,0.033,0,95,19,0.005,1,-10921639,39.941,0,0,255,74970,92.706,0.003,1,0.431
ID321,321,4,0.5,0.024,0.033,0,100,20,0.005,1,-10921639,40.077,0,0,255,75225,92.834,0.004,0.998,0.431
ID338,338,4,0.502,0.022,0.034,0,105,21,0.005,1,-10921639,40.213,0,0,255,75480,92.962,0.003,1,0.433
ID353,353,4,0.518,0.02,0.034,0,110,22,0.005,1,-10921639,41.843,0,0,255,78540,94.467,0.004,1,0.443
ID368,368,4,0.352,0.02,0.035,0,115,23,0.005,1,-10921639,28.801,0,0,255,54060,80.736,0.002,1,0.357
ID402,402,4,0.346,0.021,0.035,0,120,24,0.005,1,-10921639,28.665,0,0,255,53805,80.569,0.002,1,0.356
ID385,385,4,0.35,0.022,0.035,0,125,25,0.005,1,-10921639,28.801,0,0,255,54060,80.736,0.002,0.997,0.356
ID419,419,4,0.347,0.023,0.035,0,130,26,0.005,1,-10921639,28.394,0,0,255,53295,80.235,0.002,1,0.354
ID433,433,4,0.338,0.024,0.036,0,135,27,0.005,1,-10921639,27.443,0,0,255,51510,79.045,0.002,1,0.347
ID448,448,4,0.344,0.025,0.036,0,140,28,0.005,1,-10921639,27.986,0,0,255,52530,79.728,0.002,1,0.351
ID463,463,4,0.34,0.026,0.036,0,145,29,0.005,1,-10921639,27.714,0,0,255,52020,79.388,0.002,1,0.349
ID479,479,4,0.34,0.028,0.037,0,150,30,0.005,1,-10921639,27.986,0,0,255,52530,79.728,0.002,1,0.351
ID495,495,4,0.343,0.029,0.037,0,155,31,0.005,1,-10921639,27.714,0,0,255,52020,79.388,0.002,1,0.349
ID509,509,4,0.335,0.03,0.037,0,160,32,0.005,1,-10921639,27.171,0,0,255,51000,78.7,0.002,1,0.345
ID524,524,4,0.35,0.031,0.038,0,165,33,0.005,1,-10921639,28.53,0,0,255,53550,80.402,0.002,1,0.355
ID538,538,4,0.34,0.033,0.038,0,170,34,0.005,1,-10921639,27.714,0,0,255,52020,79.388,0.002,1,0.349
ID553,553,4,0.339,0.034,0.038,0,175,35,0.005,1,-10921639,27.714,0,0,255,52020,79.388,0.002,1,0.349
ID566,566,4,0.318,0.036,0.039,0,180,36,0.005,1,-10921639,25.405,0,0,255,47685,76.393,0.002,0.992,0.331
ID581,581,4,0.34,0.038,0.039,0,185,37,0.005,1,-10921639,27.85,0,0,255,52275,79.559,0.002,0.96,0.343
ID598,598,4,0.336,0.039,0.039,0,190,38,0.005,1,-10921639,27.579,0,0,255,51765,79.217,0.002,0.936,0.337
ID627,627,4,0.331,0.041,0.04,0,195,39,0.005,1,-10921639,28.122,0,0,255,52785,79.898,0.002,0.915,0.336
ID613,613,4,0.335,0.043,0.04,0,200,40,0.005,1,-10921639,29.481,0,0,255,55335,81.56,0.002,0.934,0.349
ID659,659,4,0.331,0.045,0.041,0,205,41,0.005,1,-10921639,30.16,0,0,255,56610,82.37,0.004,0.927,0.352
ID644,644,4,0.338,0.045,0.041,0,210,42,0.005,1,-10921639,30.16,0,0,255,56610,82.37,0.002,0.941,0.355
